Text,depressive,sentiment,emo1,emo2,emo3
but you shattered my dreams.,1,1,8,,
"another piece of me chiselled away by their cruel remarks and perceptions,",0,2,13,,
i love you completely you will find my body on the lot on the north side of the house.,0,0,3,13,
Every conversation turned to an extreme religious belief.,0,1,12,,
"HeRe I am my place of death, I am Shaking and cold, I walked out of WORK and into (REMOVED) and bought this Notebook and pen a whole 10 mins ago but it feels like days.",0,2,13,,
i expect pain very likely to outweigh happiness and satisfaction in my life.,1,0,2,,
in hopes the almighty will pardon me was i sure of that i should leave the world without the least regret.,0,0,2,,
And yet I beg that the witnesses who did not bring forward their knowledge until too late will not upbraid themselves.,0,2,13,,
i had some friends and i would have missed them.,0,2,13,12,
"PEACE FAMILY,",1,2,13,,
he said do you want to fuck me fag boy.,1,2,13,,
comrades do not think me weak.,1,2,14,,
"I took a paper around among the tenants to this effect, which they signed, and which I sent to the judge by my lawyer; also a paper to the same effect, which my landlord stood prepared to attest before a notary, if need be.",0,2,13,,
i saw many wrongdoings by the president and the director and i thought just this much will be all right.,0,2,13,,
i love you.,0,0,3,,
i cannot help dying with contempt for myself as the scum of society and an ungrateful coward.,1,1,12,,
no other single reason is more important or less temporary.,0,2,13,,
My lifestyle change drastically over the last few months.,1,2,13,,
"The book has been favorably reviewed by medical magazines of standing, and has been approved by physicians of reputation.",0,2,13,,
"So, I didn't find it important enough to share.",0,2,13,,
a sense of failing health of physical decadence.,1,1,12,,
"Jesus, where are you?",0,2,13,12,
I have refrained from any negative comments in the hopes that individuals will relaize their wrong doings.,1,1,12,,
i feel we cannot go through another of those terrible times.,1,1,11,12,13
i am enclosing your pin because i want you to think of what you took from me every time you see it.,1,2,14,,
you both warned me & wish more than you guys & could of got it together - I love you both so much - you're a great son & mom.,0,0,3,,
i can barely see what i am writing.,0,2,13,,
"even if you are christian or are against transgender people do not ever say that to someone, especially your kid.",1,1,12,14,
I have been purchasing lot's of items from you.,0,2,13,,
"My Family is also in no way affiliated with my actions, no one is, encept myself.",0,2,13,,
"Whenever you saw me I was on top of the world, because you pulled me up there.",0,2,13,5,
I've forgiven them number of times but it was my biggest mistake.,0,1,12,0,
They partition the world into good and evil and survive by hating everything they fear or misunderstand and calling it love.,0,1,8,,
"I rarely felt that I was successful explaining my ideas, perceptions, understandings to others.",1,2,13,,
My family is very innocent.,0,2,13,,
he is innocent.,0,2,13,,
"even if the mad killer epithet will be attributed to me by the media, i consider myself a rational erudite that only the arrival of the grim reaper has forced to take extreme acts.",0,2,13,,
"You may recall those days of twenty years ago when we discussed ""Empedocles on Etna"" - under the linden trees.",0,2,13,,
People say suicide is selfish.,0,2,13,,
they led me to destroy the proof of their misdeeds and still they behave as if they have nothing to do with me.,0,1,8,7,
"they were extremely excited to see me and talk to me, but only at first.",0,0,2,13,
please pray for me.,0,2,14,,
h. v. kleist but how this whole thing came to pass i will let you know another time today i am in too great a hurry.,0,2,13,,
the doctor who gave it to me calmed me down.,0,2,13,,
"This darkness, which is the only way I can describe it, has followed me like a fog, but at times intensified and overwhelmed me, usually triggered by a distinct situation.",1,1,11,,
"All of this has destabilized me, I'm not as strong as any of you, it seems.",1,1,12,13,
in particular my remorse is bitter over my failure to appreciate my beautiful lost angel carlotta the only woman i ever loved and whom i respect and admire above all the rest of the human race.,1,0,5,13,
lay down your life with your child.,1,2,14,,
weak women have done it.,0,1,7,,
mallory is such a great women.,0,2,13,4,
"However, the challenges facing a person are already so great that all but the weakest would give up, these extra factors are enough to push a person over the edge.",0,1,12,13,
the will establish if my contention is right or not.,0,2,13,,
"Now it is self-evideut to any one having knowledge of medicine that no one addicted to morphine could bo murdered with five grains of that drug, because for such a person five grains would not be a fatal dose.",1,1,12,,
the loss of caylee marie.,1,1,12,,
"Call my grandma, NAME at ADDRESS and let her know I love her too.",0,2,14,3,
You created rumors and twisted words.,1,1,8,7,
i love you.,0,0,3,,
"She would have brought me money and professional success; she would have graced my home, and had I known of her sad habit it would have been my happiness to shield and cure her.",0,0,3,2,
"again, i do not feel sorry for myself, but yes i am stupid.",1,1,12,,
do not you hear.,0,2,14,7,
[name removed] started this.,0,2,13,,
"It is strange that most if not all of this destruction is instigated by people who claim to believe in God, or Allah.",1,1,12,7,
But I feel like i have to.,1,1,12,,
you have to step across.,0,2,14,,
"first of all, I would like to declare that NO BODY /NOTHING has compelled me to take this step.",0,2,13,,
"no more i will wash, iron & mend any clothes.",1,2,13,,
many thanks to professor felice lieh-mak (cheung's last psychiatrist).,0,0,5,,
take our life from us.,0,2,14,12,
Or even ask me how I'm feeling about it.,0,1,7,,
"Every one of the paragraphs indicted in ""The Wedding Night"" is the outcome of talks which I have had with distinguished physicians and also with men and women among my pupils.",0,2,13,,
i have already lost everything.,1,2,13,,
"""i must end it.",0,0,2,14,
i am never going to be happy.,1,1,12,13,
I would have got something for sure.,0,0,2,,
I am sorry.,0,1,10,,
well some everybody dies.,0,1,12,,
This address both shar b have what you need.,0,2,13,,
You are one of the best people live ever met.,0,0,1,4,3
"i think, 'yes!",0,2,13,,
"if you, who is reading this letter can do anything for me, i have to get 7 months of my fellowship, one lakh and seventy five thousand rupees.",0,2,13,,
It is for you.,0,2,13,,
He couldn't keep his dirty hands off me or any of my teenage girlfriends.,1,1,8,12,
i however want to die quietly and out of the public eye.,1,2,13,,
"There is also about 1 million Oct The 2 in non schuob mutual funds, also in the bottom left drower.",0,2,13,,
"uma anna, sorry for using your room for this thing.",0,1,10,,
It iS true that I have found that I am capable Of finding same kind Of reprieve by doing things that are worthwhile an the scale Of life and death.,0,2,13,,
i have thought for a long time about comiting suicide.,1,2,13,,
"I'm dieing, praying, bleeding and screaming",1,1,12,2,
these days i see no light i wake up not wanting to wake up.,1,1,11,13,
The darkness will always be with me.,1,1,11,12,
I also have struggled with depression and probably a few other issues.,1,2,13,,
"Thank you for all the beautiful motivational wisdom you for sure are the best a friend could ever ask for beautiful, smart, always there.",0,0,5,,
they could not fucking take it and i know that without a doubt.,1,2,14,,
"All my life I have tried to do the right thing, and always looked forward to doing the right thing among my fellow humankind , but of late, I have seen the blurring of the distinction between right and wrong.",1,1,12,,
I am sure the results will clear me but no one will believe it.,1,1,11,13,
"It leaves us to Where all we have to 100k forward to iS constant pain, misery, poverty, and dishonor.",0,1,12,,
"At 40+ years old with a random patchwork of a resume, I've been virtually unemployable.",1,1,12,,
i have no will of my own.,1,2,13,11,
"And even if I had fought through the darkness and married and had children all while being unable to feel intimacy, I could have never done that if suicide were a possibility.",0,2,13,,
Forgive me.,0,0,0,,
in my bad time my friend NAME n NAME help me lot but it's my bad luck that I been part of there life.,0,0,5,12,
Please make sure my kids know I love them.,0,0,3,2,
then i think about comitting suicide agaoin.,1,1,11,,
I am sorry that I didn't fight til end but I cannot handle this anymore.,1,1,12,11,
exit strategy for me other than the one I have chosen here.,1,1,12,,
So I watched as things fell apart between us.,0,1,12,,
my birth is my fatal accident.,1,1,12,,
I'm so sorry.,1,1,10,12,
"Jesus, if your are alive, could you please reveal yourself to me?",0,0,2,,
it is simple theres no convulsions with it.,0,2,13,,
the other patients and one orderly helped me a lot more than he did.,1,2,13,,
"He was and alwasy will be my essence and ashe grows, I wnat him to know that..",0,2,13,,
Love NAME x.,0,0,3,,
please think kindly of me and forgive me.,0,0,0,,
I feel pain in my heart and brain all the time.,1,1,12,,
I've chosen my destiny.,1,2,13,,
I think This the best I can do to end this madness.,1,1,12,,
"i have long forgiven those who have hurt me, but i have not and cannot come to terms to forgive myself for the things i have done to myself, and the things i have done to hurt those in my life.",1,2,13,,
"at the end, i have no option other than committing suicide.",1,1,10,11,13
"they would be outraged, and rightfully so.",0,1,7,,
never again.,0,2,14,,
This is cruelly false.,1,1,7,,
I love you NAME,0,0,3,,
Many of the irresponsible things I did were the result of the darkness.,1,1,10,12,
john copping a fouryear navy veteran set himself on fire in 1967.,0,2,13,,
and I love you,0,0,3,,
It's selfishly time for me to be happy and I know you can get down with that.,0,0,1,,
"in time, you will see how appreciated you are, as well as all the others equally!",0,2,13,,
my comrade government my family is lilia brik my mother my sisters and veronica vitoldovna polonskaya.,0,2,13,,
There's no way I can fix this or even push the darkness down far enough to make a relationship or any type of intimacy feasible.,1,1,11,,
I believe him with suspicion but till now he tried to do sex 8 to 10 times with me but was unable to do with me we never had intercourse.,0,2,13,12,
You both deserve a better life than this.,0,0,2,13,
people who call and write are exasperated and feel helpless.,1,2,13,,
"i was excited, i finally had my friends back.",0,2,13,,
i blame no one and feel i have no enemies.,1,2,13,,
I love you.,0,0,3,,
"In kindergarten I couldn't use the bathroom and would stand petrified whenever I needed to, which started a trend of awkward and unexplained social behavior.",1,1,9,12,
I stopped sleeping soundly.,0,2,13,,
I had hopes that coming from the [?],0,0,2,,
I was happy but I also was lost for words,0,0,1,,
I'm messed up inside.,0,2,13,12,
i have simply come to the point of despair.,1,2,13,,
To everyone else FUCK YOU.,0,1,6,,
Understanding my desire to do with Kids (Carlin - gave up),0,1,12,,
Today will be the last time.,1,1,12,,
i would not be around when you read this letter.,0,2,13,,
I love you all so much and I don't want anyone to miss me just think about how much better you are off without me to support.,0,0,3,,
Let NAME know I love her and if it had come down to it I would have taken a bullet for her.,0,0,3,14,
seems to be getting the better of me fast.,0,2,13,,
just think!,0,2,14,,
"dear mum,",0,0,3,,
"Business and industry have more power than ever before, and individuals have less.",0,2,13,,
i am sorry we're not going to have our chance.,0,1,10,,
i loved to act and sing.,0,0,3,1,
Sorry for not sharing.,0,1,10,,
Transfer the love you had for me to him.,0,2,14,,
i will not be allowed to love and trust everybody.,0,1,12,,
i never told this to anyone because I was in love with him I thought one day everything would b okay.,0,0,3,11,
i am really happy now.,1,0,1,,
the life i would have lived is not worth living in? because i am transgender.,1,1,10,12,13
they are the fucking fags.,0,1,7,,
Oh yeah I want [Priest's name] to speak @ the funeral his words are beautiful a body viewing & open casket is up to family.,0,2,14,2,13
no more i will have to eat the leftover articles that was cooked the day before.,0,2,13,,
"You have not thought about the stigma I have to live with for the rest of my life, you have not apologized or once asked is there something you can do to make it better or even felt bad for it.",1,1,10,12,
i have had a great life great friends please think of the real o. j. and not this lost person.,0,2,14,1,
"i hoped to reread ""a death in venice"" (t. mann), but it is a long ways away back at home.",1,2,13,,
I'm exhausted from feeling like this every hour of every day.,1,1,11,,
give money to construct n I give road to his property but both chitted me n bailkmail me.,1,1,8,7,
my life is complete except all my brothers are in troublewar poverty hunger hostility.,1,1,12,,
Best childhood I could had dreamed.,0,0,5,1,
i do not look at their problems as trivial any more.,0,2,13,,
please bury me next to my baby.,0,2,14,,
"I again paid 8,55,000 + 2 lakh as ordered by court.",0,2,13,,
"you once said, the first time i heard you talk at the actor's studio, ""there is only concentration between the actor and suicide"".",0,2,13,,
i love you so completely whole heartedly without restraint.,1,0,3,,
I do not want him to booked for my suicide.,0,2,13,14,
"For the sake of preventing future loss of life rather it be from the hand of bad cops upon meinnated people, or from the hand of the people upon good cops, I do not ask but order ( With & By the power of the people behind me ) for All bad cops to be punished swiftly, completly, & us?unhesitantingly; for all unethical police practices & procedures To cease immediately.",0,2,14,7,
"The extortion till the video become viral was not violent but emotional, a clever play of gestures & words by a much younger woman to lead him on to lose his senses & shower her with money.",0,1,8,,
Before you I might not have had very much but had respect.,0,2,13,,
papa i cannot live without him as he has turned me out of his house today.,0,2,13,,
"It breaks my heart, what this is going to do to you two.",1,1,10,,
"they wanted me to be their perfect little straight christian boy, and that's obviously not what i wanted.",0,0,2,13,
I refused to take advantage of an opportunity to escape.,0,2,13,,
"You provided for me more than I even wanted, took me to places that most of my mates have not even heard of, yet despite all these, my heart was longing for love.",0,0,5,12,
and i was stupid for doing that.,1,2,13,,
Fed up (sic).,1,1,12,,
"you know for months, as a matter of fact, for a year or so, i brought stuff up, only to be told not to be negative.",1,2,13,,
you stupid (REMOVED) Is tongues and prophecy Still for today?,0,1,6,7,
I would like joe vendolo to have my radios & coyster stuff.,0,2,13,2,
NAME & NAME even after labing 95 lacs want to w nest control of the hotel.,0,2,13,8,
I was not away.,0,2,13,,
please forgive me.,0,0,0,,
"If you can't understand this decision, I hope you can at least forgive me.",0,0,0,11,13
"I have waited patiently so long as there was the remotest chance of obtaining justice, refusing to run away even when under sentence of death.",1,1,12,,
the car needs oil in the gearbox by the way.,0,2,13,,
"I would also miss unexpected hugs, Al Green's Simply Beautiful.",0,1,12,3,
