,Text,depressive,sentiment,thai_text
0,but you shattered my dreams.,1,1,แต่คุณทำลายความฝันของฉัน
1,"another piece of me chiselled away by their cruel remarks and perceptions,",0,2,อีกส่วนหนึ่งของฉันถูกสกัดกั้นด้วยคำพูดและการรับรู้ที่โหดร้ายของพวกเขา
2,i love you completely you will find my body on the lot on the north side of the house.,0,0,ฉันรักคุณจริงๆ คุณจะพบศพของฉันบนลานด้านทิศเหนือของบ้าน
3,Every conversation turned to an extreme religious belief.,0,1,ทุกการสนทนากลายเป็นความเชื่อทางศาสนาสุดโต่ง
4,"HeRe I am my place of death, I am Shaking and cold, I walked out of WORK and into (REMOVED) and bought this Notebook and pen a whole 10 mins ago but it feels like days.",0,2,ที่นี่ฉันคือสถานที่แห่งความตาย ฉันตัวสั่นและเย็นชา ฉันเดินออกจากที่ทำงานไปที่ (ลบออกแล้ว) และซื้อสมุดบันทึกและปากกานี้เมื่อ 10 นาทีที่แล้ว แต่รู้สึกเหมือนหลายวัน
5,i expect pain very likely to outweigh happiness and satisfaction in my life.,1,0,ฉันคาดว่าความเจ็บปวดน่าจะมากเกินดุลความสุขและความพึงพอใจในชีวิตของฉัน
6,in hopes the almighty will pardon me was i sure of that i should leave the world without the least regret.,0,0,ด้วยความหวังว่าผู้ทรงอำนาจจะยกโทษให้ฉัน ฉันแน่ใจว่าฉันควรจากโลกนี้ไปโดยไม่เสียใจแม้แต่น้อย
7,And yet I beg that the witnesses who did not bring forward their knowledge until too late will not upbraid themselves.,0,2,และฉันขอร้องว่าพยานที่ไม่นำความรู้ของพวกเขามาช้าเกินไปจะไม่ตำหนิตัวเอง
8,i had some friends and i would have missed them.,0,2,ฉันมีเพื่อนบางคนและฉันจะคิดถึงพวกเขา
9,"PEACE FAMILY,",1,2,ครอบครัวสันติภาพ
10,he said do you want to fuck me fag boy.,1,2,เขาบอกว่ามึงอยากเย็ดกูไอ้เด็กเวร
11,comrades do not think me weak.,1,2,สหายอย่าคิดว่าข้าอ่อนแอ
12,"I took a paper around among the tenants to this effect, which they signed, and which I sent to the judge by my lawyer; also a paper to the same effect, which my landlord stood prepared to attest before a notary, if need be.",0,2,ฉันหยิบเอกสารเกี่ยวกับเรื่องนี้ในหมู่ผู้เช่าซึ่งพวกเขาลงนามและทนายความของฉันส่งไปยังผู้พิพากษา ยังเป็นกระดาษที่มีผลเช่นเดียวกันซึ่งเจ้าของบ้านของฉันพร้อมที่จะยืนยันต่อหน้าทนายความหากจำเป็น
13,i saw many wrongdoings by the president and the director and i thought just this much will be all right.,0,2,ฉันเห็นการทำผิดหลายอย่างของประธานและผู้อำนวยการ และฉันคิดว่าแค่นี้ก็คงไม่เป็นไร
14,i love you.,0,0,ฉันรักคุณ.
15,i cannot help dying with contempt for myself as the scum of society and an ungrateful coward.,1,1,ฉันอดไม่ได้ที่จะตายด้วยความดูถูกตัวเองว่าเป็นเศษขยะของสังคมและเป็นคนขี้ขลาดเนรคุณ
16,no other single reason is more important or less temporary.,0,2,ไม่มีเหตุผลอื่นใดที่สำคัญกว่าหรือน้อยกว่าชั่วคราว
17,My lifestyle change drastically over the last few months.,1,2,วิถีชีวิตของฉันเปลี่ยนไปอย่างมากในช่วงสองสามเดือนที่ผ่านมา
